case_title,case_title_raw,normalized_title,source_pdf,source_school,source_year,page_start,page_end,page_count,industry,case_type,case_type_raw,case_type_normalized,difficulty,difficulty_raw,difficulty_normalized,difficulty_quant,difficulty_qual,difficulty_math,difficulty_structure,difficulty_creativity,concepts_tested,difficulty_visual_present,difficulty_quant_category,firm,round,interviewer_led,is_new_case,is_duplicate_case,unique_case_count_eligible,canonical_case_title,duplicate_of_source_school,duplicate_of_source_year,duplicate_of_case_title,detection_method,extraction_confidence,needs_manual_review,output_pdf_path,difficulty_score,difficulty_rating,difficulty_rating_source,difficulty_notes,difficulty_source,difficulty_confidence,difficulty_model,industry_secondary,industry_notes,industry_source,industry_confidence,industry_model
Case #19 - Aloha from Alaska,Case #19 - Aloha from Alaska,case 19 aloha from alaska,RocketBlocks/RocketBlocks-case-19-airlines-m-and-a.pdf,rocketblocks,,1,18,18,Technology,M&A,M&A,M&A,,,Medium,,,,,,,,,,,,False,False,True,case 19 aloha from alaska,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-case-19-airlines-m-and-a\case-19-aloha-from-alaska.pdf,5.8,,none,"RocketBlocks airline M&A with post-merger value capture is likely a realistic, multi-step case with moderate quant and synthesis, but still designed for standard prep rather than an unusually data-dense or highly ambiguous final-round; overall comparable to other Medium M&A/strategy examples.",openai_calibrated,0.71,gpt-5.1,,,,,
RocketBlocks-Case-2-profitability-entertainment,RocketBlocks-Case-2-profitability-entertainment,rocketblocks case 2 profitability entertainment,RocketBlocks/RocketBlocks-Case-2-profitability-entertainment.pdf,rocketblocks,,1,20,20,Technology,Profitability,Profitability,Profitability,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 2 profitability entertainment,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-2-profitability-entertainment\rocketblocks-case-2-profitability-entertainment.pdf,5.3,,none,"RocketBlocks cases are designed as realistic interview-style prompts with multiple sections, some exhibits, and a standard profitability storyline. Based on length and format, it likely involves moderate math and multi-step reasoning but not the heavy ambiguity or data density of the Hard anchors like Fintech Startup or Telecom Co., putting it in the lower-middle of the Medium range.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-20-technology-market-entry,RocketBlocks-Case-20-technology-market-entry,rocketblocks case 20 technology market entry,RocketBlocks/RocketBlocks-Case-20-technology-market-entry.pdf,rocketblocks,,1,16,16,Technology,Market Entry,Market Entry,Market Entry,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 20 technology market entry,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-20-technology-market-entry\rocketblocks-case-20-technology-market-entry.pdf,5.8,,none,"RocketBlocks market entry cases are typically realistic and moderately data-driven, with multiple exhibits and structured prompts but still guided and not as open-ended or math-heavy as the hardest MBB-style cases. This one appears more involved than simple profitability or pricing drills, with multi-step reasoning and synthesis, but likely below the complexity of the Hard anchors like Telecom Co. or Rental Cars.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-22-retail-business-response,RocketBlocks-Case-22-retail-business-response,rocketblocks case 22 retail business response,RocketBlocks/RocketBlocks-Case-22-retail-business-response.pdf,rocketblocks,,1,16,16,Technology,Competitive Response,Competitive Response,Competitive Response,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 22 retail business response,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-22-retail-business-response\rocketblocks-case-22-retail-business-response.pdf,5.8,,none,"RocketBlocks cases are typically structured to mimic standard first/second-round MBB interviews; a Nike competitive response / turnaround case will involve multi-step qualitative reasoning, some data exhibits, and moderate math but is unlikely to be as dense or ambiguous as the Hard anchors like Telecom Co. or Funeral Homes. Feels slightly more involved than simple profitability or pricing drills, comparable to Megabank Under-penetration or Practice Case 9.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-23-market-entry-energy,RocketBlocks-Case-23-market-entry-energy,rocketblocks case 23 market entry energy,RocketBlocks/RocketBlocks-Case-23-market-entry-energy.pdf,rocketblocks,,1,18,18,Technology,Market Entry,Market Entry,Market Entry,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 23 market entry energy,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-23-market-entry-energy\rocketblocks-case-23-market-entry-energy.pdf,6.0,,none,"Market entry in large-scale energy (Australian LNG mega project) suggests multi-step reasoning (market attractiveness, project economics, risk, capital intensity) and some non-trivial math, but RocketBlocks cases are typically structured and 20–30 minutes long, so it’s comparable to a solid but manageable MBB-style case rather than an especially brutal one.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-24-profitability-technology,RocketBlocks-Case-24-profitability-technology,rocketblocks case 24 profitability technology,RocketBlocks/RocketBlocks-Case-24-profitability-technology.pdf,rocketblocks,,1,18,18,Technology,Profitability,Profitability,Profitability,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 24 profitability technology,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-24-profitability-technology\rocketblocks-case-24-profitability-technology.pdf,5.8,,none,"Profitability on autonomous ride-hailing in a single city suggests moderate quant (unit economics, utilization, fixed vs variable costs) and some ambiguity around technology, regulation, and adoption; RocketBlocks cases are typically structured but realistic, comparable to standard MBB R1/R2 prep rather than very simple drills or highly complex PE-style cases.",openai_calibrated,0.7,gpt-5.1,,,,,
Case #25 - Slim chance in the pharma dance,Case #25 - Slim chance in the pharma dance,case 25 slim chance in the pharma dance,RocketBlocks/RocketBlocks-case-25-market-entry-pharmaceuticals.pdf,rocketblocks,,1,18,18,Healthcare,Market Entry,Market Entry,Market Entry,,,Medium,,,,,,,,,,,,False,False,True,case 25 slim chance in the pharma dance,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-case-25-market-entry-pharmaceuticals\case-25-slim-chance-in-the-pharma-dance.pdf,5.8,,none,"RocketBlocks market entry in pharma will likely involve multi-step reasoning (regulatory, clinical, competitive, go-to-market) and some non-trivial but manageable math on market sizing / adoption curves, similar in burden to the Megabank and Traditional Toy Maker cases. Ambiguity and synthesis are moderate but not extreme, so it fits a solid Medium leaning slightly harder than a basic round-1 case.",openai_calibrated,0.7,gpt-5.1,,,,,
RocketBlocks Case #26 - MLB Blackouts,RocketBlocks Case #26 - MLB Blackouts,rocketblocks case 26 mlb blackouts,RocketBlocks/RocketBlocks-Case-26-growth-media.pdf,rocketblocks,,1,16,16,Technology,Growth Strategy,Growth Strategy,Growth Strategy,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 26 mlb blackouts,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-26-growth-media\rocketblocks-case-26-mlb-blackouts.pdf,5.8,,none,"Likely a realistic, multi-step growth/partnership strategy case with moderate quant and meaningful ambiguity around stakeholders (MLB, fans, broadcasters/streamers, rights, blackout rules). Synthesis burden is higher than simple profitability or pricing cases but still in line with standard prep, comparable to Megabank Under-penetration or Practice Case 9.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-28-competitive-response-food-delivery,RocketBlocks-Case-28-competitive-response-food-delivery,rocketblocks case 28 competitive response food delivery,RocketBlocks/RocketBlocks-Case-28-competitive-response-food-delivery.pdf,rocketblocks,,1,16,16,Technology,Competitive Response,Competitive Response,Competitive Response,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 28 competitive response food delivery,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-28-competitive-response-food-delivery\rocketblocks-case-28-competitive-response-food-delivery.pdf,5.6,,none,"Competitive response with a realistic tech/food-delivery context will require multi-step reasoning, some quantitative comparison of options, and synthesis of tradeoffs, but RocketBlocks cases are typically structured and guided, keeping it in line with standard prep cases like Megabank Under-penetration rather than the more ambiguous, data-dense Hard cases.",openai_calibrated,0.71,gpt-5.1,,,,,
RocketBlocks-Case-3-m-and-a-social-media,RocketBlocks-Case-3-m-and-a-social-media,rocketblocks case 3 m and a social media,RocketBlocks/RocketBlocks-Case-3-m-and-a-social-media.pdf,rocketblocks,,1,16,16,Technology,M&A,M&A,M&A,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 3 m and a social media,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-3-m-and-a-social-media\rocketblocks-case-3-m-and-a-social-media.pdf,5.8,,none,"RocketBlocks M&A tech cases are typically realistic and moderately ambiguous, with multi-step reasoning on strategic fit, valuation intuition, and deal risks, plus some but not heavy math and exhibits. This feels a bit more involved than a simple profitability or pricing case, but not as complex or data-dense as the Hard calibration examples.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-30-growth-food-and-beverage,RocketBlocks-Case-30-growth-food-and-beverage,rocketblocks case 30 growth food and beverage,RocketBlocks/RocketBlocks-Case-30-growth-food-and-beverage.pdf,rocketblocks,,1,16,16,Technology,Growth Strategy,Growth Strategy,Growth Strategy,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 30 growth food and beverage,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-30-growth-food-and-beverage\rocketblocks-case-30-growth-food-and-beverage.pdf,5.6,,none,"RocketBlocks growth cases are typically structured, interviewer-led, and designed for 20–30 minutes with some exhibits and math but not extreme complexity; a Nestlé growth strategy in food & beverage is realistic with moderate ambiguity and multi-step reasoning, comparable to other standard prep cases like Megabank Under-penetration or Practice Case 9.",openai_calibrated,0.71,gpt-5.1,,,,,
RocketBlocks-Case-31-media-market-entry,RocketBlocks-Case-31-media-market-entry,rocketblocks case 31 media market entry,RocketBlocks/RocketBlocks-Case-31-media-market-entry.pdf,rocketblocks,,1,16,16,Technology,Market Entry,Market Entry,Market Entry,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 31 media market entry,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-31-media-market-entry\rocketblocks-case-31-media-market-entry.pdf,5.8,,none,"RocketBlocks market entry cases are typically realistic and multi-step with some data exhibits and moderate math, but still designed for 20–30 minute practice. A Disney media/film entry decision will require structured market sizing, some exhibit interpretation, and synthesis across qualitative and quantitative factors, comparable to the MIT/Columbia Medium anchors rather than the very data-dense Hard examples.",openai_calibrated,0.7,gpt-5.1,,,,,
RocketBlocks-Case-32-market-entry-automotive,RocketBlocks-Case-32-market-entry-automotive,rocketblocks case 32 market entry automotive,RocketBlocks/RocketBlocks-Case-32-market-entry-automotive.pdf,rocketblocks,,1,16,16,Technology,Market Entry,Market Entry,Market Entry,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 32 market entry automotive,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-32-market-entry-automotive\rocketblocks-case-32-market-entry-automotive.pdf,5.8,,none,"RocketBlocks market entry cases are typically realistic and moderately data-driven. Autonomous lawnmowers in the US implies non-trivial market sizing, tech/auto crossover considerations, and go-to-market strategy, with some ambiguity but not the extreme complexity of the Hard anchors like Telecom Co. or Fintech Startup. Overall comparable to standard MBB-style market entry difficulty.",openai_calibrated,0.63,gpt-5.1,,,,,
Case #33 - Getty Merger,Case #33 - Getty Merger,case 33 getty merger,RocketBlocks/RocketBlocks-case-33-visual-content-m-and-a.pdf,rocketblocks,,1,18,18,Technology,M&A,M&A,M&A,,,Medium,,,,,,,,,,,,False,False,True,case 33 getty merger,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-case-33-visual-content-m-and-a\case-33-getty-merger.pdf,6.0,,none,"AI-era Getty–Shutterstock M&A is conceptually rich and somewhat ambiguous, likely requiring multi-step strategic reasoning, synergies, and competitive dynamics, but RocketBlocks cases are typically structured with guided exhibits and manageable math, putting it in the middle of the Medium range rather than truly Hard.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-34-capital-one-discoverbank-m-and-a,RocketBlocks-Case-34-capital-one-discoverbank-m-and-a,rocketblocks case 34 capital one discoverbank m and a,RocketBlocks/RocketBlocks-Case-34-capital-one-discoverbank-m-and-a.pdf,rocketblocks,,1,17,17,Technology,M&A,M&A,M&A,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 34 capital one discoverbank m and a,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-34-capital-one-discoverbank-m-and-a\rocketblocks-case-34-capital-one-discoverbank-m-and-a.pdf,6.0,,none,"Capital One–Discover M&A is a realistic, multi-faceted deal question with moderate ambiguity, several reasoning steps (strategic fit, synergies, risks, valuation logic), and likely some non-trivial but manageable math and exhibit work typical of RocketBlocks. It feels like a solid, standard MBB-style case but not as data-dense or synthesis-heavy as the Hard anchors like Telecom Co. or Rental Cars, so it sits in the middle of the Medium band.",openai_calibrated,0.7,gpt-5.1,,,,,
RocketBlocks-Case-35-business-response-fast-food,RocketBlocks-Case-35-business-response-fast-food,rocketblocks case 35 business response fast food,RocketBlocks/RocketBlocks-Case-35-business-response-fast-food.pdf,rocketblocks,,1,18,18,Technology,Competitive Response,Competitive Response,Competitive Response,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 35 business response fast food,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-35-business-response-fast-food\rocketblocks-case-35-business-response-fast-food.pdf,5.3,,none,"Competitive response on a McDonald’s loss-leading meal deal will involve standard profitability math, some elasticity / customer behavior reasoning, and a few exhibits, but RocketBlocks business-response cases are typically structured and guided, keeping ambiguity and synthesis burden moderate. Overall comparable to other mainstream prep cases like Megabank Under-penetration rather than the more complex, data-dense Hard anchors.",openai_calibrated,0.73,gpt-5.1,,,,,
RocketBlocks-Case-36-market-entry-payment-cards,RocketBlocks-Case-36-market-entry-payment-cards,rocketblocks case 36 market entry payment cards,RocketBlocks/RocketBlocks-Case-36-market-entry-payment-cards.pdf,rocketblocks,,1,19,19,Technology,Market Entry,Market Entry,Market Entry,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 36 market entry payment cards,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-36-market-entry-payment-cards\rocketblocks-case-36-market-entry-payment-cards.pdf,6.0,,none,"RocketBlocks market entry cases are typically realistic and multi-step with several exhibits and a need to balance qualitative market-entry strategy with quantitative sizing / economics. Government payment cards in DC adds some policy/contract nuance and ambiguity but is unlikely to reach the data density or synthesis burden of the Hard anchors like Telecom Co. or Rental Cars; it sits as a solid, slightly above-average Medium case.",openai_calibrated,0.7,gpt-5.1,,,,,
RocketBlocks-Case-37-profitability-retail,RocketBlocks-Case-37-profitability-retail,rocketblocks case 37 profitability retail,RocketBlocks/RocketBlocks-Case-37-profitability-retail.pdf,rocketblocks,,1,17,17,Technology,Profitability,Profitability,Profitability,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 37 profitability retail,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-37-profitability-retail\rocketblocks-case-37-profitability-retail.pdf,5.3,,none,"Retail profitability on a single event day is a standard, focused prompt with moderate ambiguity around drivers and levers; RocketBlocks cases typically include some structured math and exhibits but are not as multi-layered or synthesis-heavy as the Hard anchors. Overall it feels like a realistic, balanced MBB-style case similar in burden to the Medium calibration examples.",openai_calibrated,0.71,gpt-5.1,,,,,
RocketBlocks-Case-38-profitability-automotive,RocketBlocks-Case-38-profitability-automotive,rocketblocks case 38 profitability automotive,RocketBlocks/RocketBlocks-Case-38-profitability-automotive.pdf,rocketblocks,,1,18,18,Technology,Profitability,Profitability,Profitability,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 38 profitability automotive,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-38-profitability-automotive\rocketblocks-case-38-profitability-automotive.pdf,5.8,,none,"RocketBlocks profitability cases typically mirror standard MBB-style interviews: multi-step profit diagnosis, several exhibits, and moderate math but within a clear, guided structure. The automotive dealer context adds some operational nuance but is unlikely to reach the complexity of the Hard anchors like Fintech Startup or Telecom Co., so it sits as a solid, realistic Medium case slightly above the 5.5 anchors.",openai_calibrated,0.71,gpt-5.1,,,,,
RocketBlocks-Case-39-profitability-consumer-internet,RocketBlocks-Case-39-profitability-consumer-internet,rocketblocks case 39 profitability consumer internet,RocketBlocks/RocketBlocks-Case-39-profitability-consumer-internet.pdf,rocketblocks,,1,16,16,Technology,Profitability,Profitability,Profitability,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 39 profitability consumer internet,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-39-profitability-consumer-internet\rocketblocks-case-39-profitability-consumer-internet.pdf,5.8,,none,"RocketBlocks cases are typically realistic and structured for 20–30 minutes; a profitability case in consumer internet will involve multi-step driver analysis, some user / unit economics math, and exhibit interpretation, but the prompt itself is focused and not highly ambiguous. Overall this aligns with standard MBB-style medium difficulty, slightly above the simpler school cases but below the very complex, data-dense hard anchors.",openai_calibrated,0.71,gpt-5.1,,,,,
RocketBlocks-Case-4-competitive-response-hotel-tourism,RocketBlocks-Case-4-competitive-response-hotel-tourism,rocketblocks case 4 competitive response hotel tourism,RocketBlocks/RocketBlocks-Case-4-competitive-response-hotel-tourism.pdf,rocketblocks,,1,19,19,Technology,Competitive Response,Competitive Response,Competitive Response,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 4 competitive response hotel tourism,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-4-competitive-response-hotel-tourism\rocketblocks-case-4-competitive-response-hotel-tourism.pdf,5.8,,none,"Competitive response in a disrupted NYC hotel market is moderately ambiguous and requires multi-step reasoning on demand, pricing, and competitor moves, but RocketBlocks cases are typically well-structured with guided exhibits and manageable math; overall comparable to standard MBB-style prep rather than a very tough final-round case.",openai_calibrated,0.7,gpt-5.1,,,,,
RocketBlocks-Case-40-human-resources-construction,RocketBlocks-Case-40-human-resources-construction,rocketblocks case 40 human resources construction,RocketBlocks/RocketBlocks-Case-40-human-resources-construction.pdf,rocketblocks,,1,18,18,Technology,Human Resources,Human Resources,Organization / Human Capital,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 40 human resources construction,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-40-human-resources-construction\rocketblocks-case-40-human-resources-construction.pdf,5.8,,none,"Likely a realistic, multi-part organizational / labor case with some workforce-gap quant, but not as math-heavy or synthesis-intense as the Hard anchors; feels similar in burden to standard medium MBB-style cases like Megabank or Traditional Toy Maker.",openai_calibrated,0.7,gpt-5.1,,,,,
RocketBlocks-Case-41-business-response-food-manufacturing,RocketBlocks-Case-41-business-response-food-manufacturing,rocketblocks case 41 business response food manufacturing,RocketBlocks/RocketBlocks-Case-41-business-response-food-manufacturing_01.pdf,rocketblocks,,1,18,18,Technology,Competitive Response,Competitive Response,Competitive Response,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 41 business response food manufacturing,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-41-business-response-food-manufacturing_01\rocketblocks-case-41-business-response-food-manufacturing.pdf,5.8,,none,"Competitive response in a real-company, geo-political supply chain context (Cargill, synthetic dyes in China) suggests moderate ambiguity and multi-step reasoning, but RocketBlocks round-1 style cases are typically structured with manageable math and exhibits. Feels like a standard, realistic MBB-style case rather than an especially heavy or data-dense one.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-42-market-entry-restaurant,RocketBlocks-Case-42-market-entry-restaurant,rocketblocks case 42 market entry restaurant,RocketBlocks/RocketBlocks-Case-42-market-entry-restaurant.pdf,rocketblocks,,1,21,21,Technology,Market Entry,Market Entry,Market Entry,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 42 market entry restaurant,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-42-market-entry-restaurant\rocketblocks-case-42-market-entry-restaurant.pdf,5.3,,none,"Standard RocketBlocks-style market entry / turnaround for a casual dining chain. Likely involves balanced but not extreme math, some exhibit interpretation, and multi-step reasoning on growth / operations, comparable to other core prep cases like Megabank Under-penetration rather than the more complex Fintech or Telecom cases.",openai_calibrated,0.7,gpt-5.1,,,,,
RocketBlocks-Case-43-market-sizing-air-travel,RocketBlocks-Case-43-market-sizing-air-travel,rocketblocks case 43 market sizing air travel,RocketBlocks/RocketBlocks-Case-43-market-sizing-air-travel.pdf,rocketblocks,,1,22,22,Technology,Growth Strategy,Growth Strategy,Growth Strategy,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 43 market sizing air travel,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-43-market-sizing-air-travel\rocketblocks-case-43-market-sizing-air-travel.pdf,5.8,,none,"RocketBlocks cases are typically well-structured but this one involves non-standard, crowdsourced helicopter travel with market sizing / growth assessment, which adds ambiguity and multi-step reasoning. Likely similar to a standard MBB growth / market sizing case with moderate math and synthesis, a bit above the simpler Medium anchors but below the very data-dense Hard cases.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-44-market-sizing-airport-rental,RocketBlocks-Case-44-market-sizing-airport-rental,rocketblocks case 44 market sizing airport rental,RocketBlocks/RocketBlocks-Case-44-market-sizing-airport-rental.pdf,rocketblocks,,1,21,21,Technology,Pricing,Pricing,Pricing,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 44 market sizing airport rental,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-44-market-sizing-airport-rental\rocketblocks-case-44-market-sizing-airport-rental.pdf,5.8,,none,"RocketBlocks cases are typically well-structured but this one layers market sizing with a premium-pricing partnership context, likely involving multi-step demand estimation and revenue / profit implications. That puts it above simple pricing cases like Seven Flags but below the most ambiguous, data-dense Hard cases like Telecom Co. or Rental Cars & Frequent Flyer Miles.",openai_calibrated,0.7,gpt-5.1,,,,,
RocketBlocks-Case-45-competitive-response-manufacturing,RocketBlocks-Case-45-competitive-response-manufacturing,rocketblocks case 45 competitive response manufacturing,RocketBlocks/RocketBlocks-Case-45-competitive-response-manufacturing.pdf,rocketblocks,,1,24,24,Technology,Competitive Response,Competitive Response,Competitive Response,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 45 competitive response manufacturing,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-45-competitive-response-manufacturing\rocketblocks-case-45-competitive-response-manufacturing.pdf,5.8,,none,"Competitive response to autonomous vehicles in auto parts is moderately ambiguous and conceptual, likely requiring multi-step reasoning on industry disruption plus some quant and exhibit work, similar to standard MBB-style cases but not as math- or synthesis-heavy as the Hard anchors.",openai_calibrated,0.63,gpt-5.1,,,,,
Case #46 - To pay or not to pay?,Case #46 - To pay or not to pay?,case 46 to pay or not to pay,RocketBlocks/RocketBlocks-Case-46-competitive-response-technology.pdf,rocketblocks,,1,20,20,Technology,Investment Decision,Investment Decision,Investment Decision,,,Medium,,,,,,,,,,,,False,False,True,case 46 to pay or not to pay,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-46-competitive-response-technology\case-46-to-pay-or-not-to-pay.pdf,5.8,,none,"Ransomware response / investment decision is moderately ambiguous and requires balancing risk, cost, and strategic implications, likely with some scenario-based math but not extreme quant. Feels like a realistic, multi-step MBB-style case but not as data-dense or complex as the Hard anchors like Telecom Co. or Rental Cars.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-47-market-entry-dental-insurance,RocketBlocks-Case-47-market-entry-dental-insurance,rocketblocks case 47 market entry dental insurance,RocketBlocks/RocketBlocks-Case-47-market-entry-dental-insurance.pdf,rocketblocks,,1,21,21,Technology,Market Entry,Market Entry,Market Entry,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 47 market entry dental insurance,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-47-market-entry-dental-insurance\rocketblocks-case-47-market-entry-dental-insurance.pdf,5.8,,none,"RocketBlocks market entry cases are typically realistic, multi-step, and exhibit-heavy, with moderate math and synthesis around go/no-go and entry strategy; this feels comparable to the Megabank Under-penetration and other standard MBB-style market entry cases rather than the very dense Hard anchors.",openai_calibrated,0.63,gpt-5.1,,,,,
Case #48 - Captain Crunch,Case #48 - Captain Crunch,case 48 captain crunch,RocketBlocks/RocketBlocks-Case-48-competitive-response-healthcare-financing.pdf,rocketblocks,,1,21,21,Technology,Competitive Response,Competitive Response,Competitive Response,,,Medium,,,,,,,,,,,,False,False,True,case 48 captain crunch,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-48-competitive-response-healthcare-financing\case-48-captain-crunch.pdf,5.8,,none,"Competitive response in a healthcare revenue-cycle context is moderately ambiguous and requires multi-step reasoning on operations, incentives, and payment flows, but RocketBlocks cases are typically structured and guided, keeping it in line with standard MBB-style prep rather than a very hard, data-dense case. Likely similar in burden to Megabank Under-penetration or Traditional Toy Maker rather than the complex Hard anchors.",openai_calibrated,0.63,gpt-5.1,,,,,
RocketBlocks-Case-49-operations-consumer-packaged-goods,RocketBlocks-Case-49-operations-consumer-packaged-goods,rocketblocks case 49 operations consumer packaged goods,RocketBlocks/RocketBlocks-Case-49-operations-consumer-packaged-goods.pdf,rocketblocks,,1,21,21,Technology,Operations,Operations,Operations,,,Medium,,,,,,,,,,,,False,False,True,rocketblocks case 49 operations consumer packaged goods,,,,already_single_case,0.85,False,C:\Users\Dan\Desktop\Case Repo\output\cases\RocketBlocks\RocketBlocks-Case-49-operations-consumer-packaged-goods\rocketblocks-case-49-operations-consumer-packaged-goods.pdf,5.8,,none,"Procurement-driven savings for a global beverage giant suggests multi-step cost-structure reasoning, some operations math (e.g., unit costs, savings sizing), and exhibit interpretation, but within a focused, fairly standard operations context. Feels like a realistic, moderately data-driven MBB-style case rather than a highly ambiguous or math-heavy one.",openai_calibrated,0.63,gpt-5.1,,,,,
